data,nome_metrica,valor,abaixo_95,acima_95,tipo
2021-04-28,"Rt (Thompson et al., 2019)",1.098,1.063,1.134,2
2021-04-29,"Rt (Thompson et al., 2019)",1.098,1.060,1.135,2
2021-04-30,"Rt (Thompson et al., 2019)",1.087,1.050,1.124,2
2021-05-01,"Rt (Thompson et al., 2019)",1.093,1.057,1.131,2
2021-05-02,"Rt (Thompson et al., 2019)",1.054,1.019,1.089,2
2021-05-03,"Rt (Thompson et al., 2019)",1.027,0.992,1.061,2
2021-05-04,"Rt (Thompson et al., 2019)",1.026,0.990,1.059,2
2021-05-05,"Rt (Thompson et al., 2019)",1.030,0.997,1.066,2
2021-05-06,"Rt (Thompson et al., 2019)",1.053,1.018,1.087,2
2021-05-07,"Rt (Thompson et al., 2019)",1.087,1.053,1.121,2
2021-05-08,"Rt (Thompson et al., 2019)",1.154,1.118,1.187,2
2021-05-09,"Rt (Thompson et al., 2019)",1.183,1.146,1.218,2
2021-05-10,"Rt (Thompson et al., 2019)",1.204,1.167,1.239,2
2021-05-11,"Rt (Thompson et al., 2019)",1.217,1.182,1.253,2
2021-05-12,"Rt (Thompson et al., 2019)",1.177,1.139,1.212,2
2021-05-13,"Rt (Thompson et al., 2019)",1.126,1.092,1.161,2
2021-05-14,"Rt (Thompson et al., 2019)",1.078,1.046,1.113,2
2021-05-15,"Rt (Thompson et al., 2019)",1.053,1.022,1.086,2
2021-05-16,"Rt (Thompson et al., 2019)",1.048,1.014,1.077,2
2021-05-17,"Rt (Thompson et al., 2019)",1.046,1.016,1.076,2
2021-05-18,"Rt (Thompson et al., 2019)",1.066,1.036,1.097,2
2021-05-19,"Rt (Thompson et al., 2019)",1.092,1.062,1.125,2
2021-05-20,"Rt (Thompson et al., 2019)",1.135,1.103,1.165,2
2021-05-21,"Rt (Thompson et al., 2019)",1.171,1.139,1.204,2
2021-05-22,"Rt (Thompson et al., 2019)",1.181,1.148,1.214,2
2021-05-23,"Rt (Thompson et al., 2019)",1.178,1.145,1.211,2
2021-05-24,"Rt (Thompson et al., 2019)",1.174,1.141,1.207,2
2021-05-25,"Rt (Thompson et al., 2019)",1.163,1.132,1.196,2
2021-05-26,"Rt (Thompson et al., 2019)",1.149,1.120,1.180,2
2021-05-27,"Rt (Thompson et al., 2019)",1.136,1.107,1.164,2
2021-05-28,"Rt (Thompson et al., 2019)",1.135,1.107,1.163,2
2021-05-29,"Rt (Thompson et al., 2019)",1.159,1.129,1.189,2
2021-05-30,"Rt (Thompson et al., 2019)",1.132,1.103,1.161,2
2021-05-31,"Rt (Thompson et al., 2019)",1.095,1.064,1.122,2
2021-06-01,"Rt (Thompson et al., 2019)",1.054,1.027,1.082,2
2021-06-02,"Rt (Thompson et al., 2019)",1.011,0.984,1.035,2
2021-06-03,"Rt (Thompson et al., 2019)",0.962,0.937,0.988,2
2021-06-04,"Rt (Thompson et al., 2019)",0.900,0.876,0.926,2
2021-06-05,"Rt (Thompson et al., 2019)",0.886,0.861,0.911,2
2021-06-06,"Rt (Thompson et al., 2019)",0.888,0.863,0.911,2
2021-06-07,"Rt (Thompson et al., 2019)",0.899,0.875,0.925,2
2021-06-08,"Rt (Thompson et al., 2019)",0.909,0.885,0.933,2
2021-06-09,"Rt (Thompson et al., 2019)",0.940,0.914,0.965,2
2021-06-10,"Rt (Thompson et al., 2019)",0.978,0.952,1.004,2
2021-06-11,"Rt (Thompson et al., 2019)",1.006,0.979,1.033,2
2021-06-12,"Rt (Thompson et al., 2019)",1.026,0.999,1.055,2
2021-06-13,"Rt (Thompson et al., 2019)",1.028,1.001,1.055,2
2021-06-14,"Rt (Thompson et al., 2019)",1.034,1.006,1.061,2
2021-06-15,"Rt (Thompson et al., 2019)",1.022,0.996,1.049,2
2021-06-16,"Rt (Thompson et al., 2019)",1.009,0.980,1.038,2
2021-06-17,"Rt (Thompson et al., 2019)",0.996,0.969,1.024,2
2021-06-18,"Rt (Thompson et al., 2019)",0.984,0.957,1.012,2
2021-06-19,"Rt (Thompson et al., 2019)",0.978,0.952,1.005,2
2021-06-20,"Rt (Thompson et al., 2019)",0.968,0.942,0.995,2
2021-06-21,"Rt (Thompson et al., 2019)",0.956,0.929,0.981,2
2021-06-22,"Rt (Thompson et al., 2019)",0.948,0.922,0.975,2
2021-06-23,"Rt (Thompson et al., 2019)",0.946,0.920,0.972,2
2021-06-24,"Rt (Thompson et al., 2019)",0.944,0.918,0.968,2
2021-06-25,"Rt (Thompson et al., 2019)",0.949,0.923,0.974,2
2021-06-26,"Rt (Thompson et al., 2019)",0.957,0.930,0.985,2
2021-06-27,"Rt (Thompson et al., 2019)",0.963,0.935,0.990,2
2021-06-28,"Rt (Thompson et al., 2019)",0.970,0.943,0.996,2
2021-06-29,"Rt (Thompson et al., 2019)",0.976,0.947,1.005,2
2021-06-30,"Rt (Thompson et al., 2019)",0.981,0.954,1.009,2
2021-07-01,"Rt (Thompson et al., 2019)",0.979,0.954,1.007,2
2021-07-02,"Rt (Thompson et al., 2019)",0.975,0.949,1.003,2
2021-07-03,"Rt (Thompson et al., 2019)",0.977,0.950,1.003,2
2021-07-04,"Rt (Thompson et al., 2019)",0.967,0.939,0.995,2
2021-07-05,"Rt (Thompson et al., 2019)",0.960,0.931,0.986,2
2021-07-06,"Rt (Thompson et al., 2019)",0.959,0.933,0.988,2
2021-07-07,"Rt (Thompson et al., 2019)",0.959,0.931,0.989,2
2021-07-08,"Rt (Thompson et al., 2019)",0.960,0.931,0.988,2
2021-07-09,"Rt (Thompson et al., 2019)",0.966,0.938,0.994,2
2021-07-10,"Rt (Thompson et al., 2019)",0.981,0.954,1.011,2
2021-07-11,"Rt (Thompson et al., 2019)",0.986,0.956,1.013,2
2021-07-12,"Rt (Thompson et al., 2019)",0.987,0.959,1.014,2
2021-07-13,"Rt (Thompson et al., 2019)",0.987,0.959,1.015,2
2021-07-14,"Rt (Thompson et al., 2019)",0.986,0.957,1.014,2
2021-07-15,"Rt (Thompson et al., 2019)",0.977,0.948,1.006,2
2021-07-16,"Rt (Thompson et al., 2019)",0.968,0.939,0.998,2
2021-07-17,"Rt (Thompson et al., 2019)",0.959,0.931,0.988,2
2021-07-18,"Rt (Thompson et al., 2019)",0.939,0.912,0.967,2
2021-07-19,"Rt (Thompson et al., 2019)",0.910,0.882,0.938,2
2021-07-20,"Rt (Thompson et al., 2019)",0.867,0.839,0.894,2
2021-07-21,"Rt (Thompson et al., 2019)",0.825,0.799,0.851,2
2021-07-22,"Rt (Thompson et al., 2019)",0.785,0.757,0.811,2
2021-07-23,"Rt (Thompson et al., 2019)",0.761,0.736,0.789,2
2021-07-24,"Rt (Thompson et al., 2019)",0.746,0.722,0.772,2
2021-07-25,"Rt (Thompson et al., 2019)",0.738,0.713,0.765,2
2021-07-26,"Rt (Thompson et al., 2019)",0.748,0.720,0.776,2
2021-07-27,"Rt (Thompson et al., 2019)",0.769,0.741,0.795,2
2021-07-28,"Rt (Thompson et al., 2019)",0.797,0.770,0.824,2
2021-07-29,"Rt (Thompson et al., 2019)",0.812,0.784,0.843,2
2021-07-30,"Rt (Thompson et al., 2019)",0.829,0.797,0.860,2
2021-07-31,"Rt (Thompson et al., 2019)",0.853,0.820,0.887,2
2021-08-01,"Rt (Thompson et al., 2019)",0.879,0.846,0.912,2
2021-08-02,"Rt (Thompson et al., 2019)",0.892,0.859,0.928,2
2021-08-03,"Rt (Thompson et al., 2019)",0.923,0.884,0.962,2
2021-08-04,"Rt (Thompson et al., 2019)",0.971,0.936,1.008,2
2021-08-05,"Rt (Thompson et al., 2019)",1.022,0.983,1.060,2
2021-08-06,"Rt (Thompson et al., 2019)",1.079,1.042,1.117,2
2021-08-07,"Rt (Thompson et al., 2019)",1.141,1.096,1.187,2
2021-08-08,"Rt (Thompson et al., 2019)",1.187,1.146,1.230,2
2021-08-09,"Rt (Thompson et al., 2019)",1.210,1.167,1.253,2
2021-08-10,"Rt (Thompson et al., 2019)",1.231,1.188,1.274,2
2021-08-11,"Rt (Thompson et al., 2019)",1.253,1.211,1.296,2
2021-08-12,"Rt (Thompson et al., 2019)",1.265,1.219,1.308,2
2021-08-13,"Rt (Thompson et al., 2019)",1.271,1.231,1.312,2
2021-08-14,"Rt (Thompson et al., 2019)",1.262,1.224,1.300,2
2021-08-15,"Rt (Thompson et al., 2019)",1.249,1.211,1.290,2
2021-08-16,"Rt (Thompson et al., 2019)",1.224,1.188,1.259,2
2021-08-17,"Rt (Thompson et al., 2019)",1.175,1.138,1.213,2
2021-08-18,"Rt (Thompson et al., 2019)",1.125,1.090,1.161,2
